hotend_ist;hotend_soll;bed_ist;bed_soll
24,41 ;0,00 ;60,14 ;/60,00 
24,37 ;0,00 ;60,31 ;/60,00 
24,66 ;0,00 ;60,49 ;/60,00 
24,41 ;0,00 ;60,52 ;/60,00 
24,41 ;0,00 ;60,43 ;/60,00 
24,31 ;0,00 ;60,22 ;/60,00 
24,47 ;220,00 ;59,99 ;/60,00 
24,50 ;220,00 ;59,62 ;/60,00 
24,94 ;220,00 ;59,43 ;/60,00 
25,97 ;220,00 ;59,35 ;/60,00 
28,02 ;220,00 ;59,39 ;/60,00 
30,52 ;220,00 ;59,43 ;/60,00 
33,29 ;220,00 ;59,56 ;/60,00 
36,73 ;220,00 ;59,79 ;/60,00 
40,52 ;220,00 ;60,00 ;/60,00 
44,27 ;220,00 ;60,19 ;/60,00 
48,90 ;220,00 ;60,21 ;/60,00 
52,69 ;220,00 ;60,17 ;/60,00 
56,14 ;220,00 ;60,02 ;/60,00 
59,91 ;220,00 ;59,79 ;/60,00 
63,85 ;220,00 ;59,57 ;/60,00 
68,47 ;220,00 ;59,54 ;/60,00 
71,89 ;220,00 ;59,53 ;/60,00 
75,78 ;220,00 ;59,67 ;/60,00 
79,78 ;220,00 ;59,82 ;/60,00 
83,33 ;220,00 ;60,13 ;/60,00 
87,50 ;220,00 ;60,38 ;/60,00 
91,16 ;220,00 ;60,54 ;/60,00 
94,20 ;220,00 ;60,78 ;/60,00 
97,90 ;220,00 ;60,86 ;/60,00 
101,37 ;220,00 ;60,83 ;/60,00 
104,51 ;220,00 ;60,74 ;/60,00 
107,83 ;220,00 ;60,60 ;/60,00 
111,18 ;220,00 ;60,44 ;/60,00 
114,45 ;220,00 ;60,22 ;/60,00 
117,61 ;220,00 ;60,09 ;/60,00 
120,93 ;220,00 ;59,95 ;/60,00 
123,97 ;220,00 ;59,78 ;/60,00 
127,14 ;220,00 ;59,57 ;/60,00 
130,25 ;220,00 ;59,65 ;/60,00 
133,50 ;220,00 ;59,80 ;/60,00 
136,80 ;220,00 ;60,14 ;/60,00 
139,82 ;220,00 ;60,43 ;/60,00 
142,40 ;220,00 ;60,73 ;/60,00 
144,99 ;220,00 ;60,94 ;/60,00 
148,04 ;220,00 ;61,02 ;/60,00 
150,92 ;220,00 ;60,93 ;/60,00 
154,11 ;220,00 ;60,95 ;/60,00 
157,13 ;220,00 ;60,89 ;/60,00 
160,03 ;220,00 ;60,75 ;/60,00 
162,98 ;220,00 ;60,69 ;/60,00 
165,48 ;220,00 ;60,57 ;/60,00 
167,88 ;220,00 ;60,53 ;/60,00 
170,15 ;220,00 ;60,42 ;/60,00 
172,76 ;220,00 ;60,32 ;/60,00 
175,46 ;220,00 ;60,29 ;/60,00 
177,86 ;220,00 ;60,21 ;/60,00 
180,58 ;220,00 ;60,14 ;/60,00 
183,48 ;220,00 ;60,01 ;/60,00 
186,13 ;220,00 ;59,95 ;/60,00 
188,48 ;220,00 ;59,96 ;/60,00 
190,53 ;220,00 ;59,96 ;/60,00 
193,56 ;220,00 ;60,02 ;/60,00 
195,98 ;220,00 ;60,29 ;/60,00 
198,25 ;220,00 ;60,45 ;/60,00 
200,59 ;220,00 ;60,60 ;/60,00 
203,03 ;220,00 ;60,64 ;/60,00 
205,06 ;220,00 ;60,68 ;/60,00 
207,41 ;220,00 ;60,57 ;/60,00 
209,83 ;220,00 ;60,59 ;/60,00 
212,08 ;220,00 ;60,53 ;/60,00 
214,40 ;220,00 ;60,49 ;/60,00 
215,98 ;220,00 ;60,36 ;/60,00 
217,29 ;220,00 ;60,36 ;/60,00 
218,04 ;220,00 ;60,27 ;/60,00 
218,60 ;220,00 ;60,16 ;/60,00 
218,52 ;220,00 ;60,15 ;/60,00 
218,49 ;220,00 ;60,14 ;/60,00 
218,11 ;220,00 ;60,08 ;/60,00 
218,26 ;220,00 ;59,99 ;/60,00 
218,52 ;220,00 ;59,95 ;/60,00 
219,31 ;220,00 ;59,87 ;/60,00 
219,76 ;220,00 ;59,95 ;/60,00 
220,44 ;220,00 ;60,17 ;/60,00 
220,85 ;220,00 ;60,44 ;/60,00 
221,00 ;220,00 ;60,60 ;/60,00 
221,15 ;220,00 ;60,65 ;/60,00 
221,30 ;220,00 ;60,71 ;/60,00 
220,96 ;220,00 ;60,72 ;/60,00 
220,55 ;220,00 ;60,65 ;/60,00 
220,33 ;220,00 ;60,60 ;/60,00 
220,10 ;220,00 ;60,58 ;/60,00 
219,69 ;220,00 ;60,52 ;/60,00 
219,61 ;220,00 ;60,43 ;/60,00 
219,43 ;220,00 ;60,31 ;/60,00 
219,31 ;220,00 ;60,27 ;/60,00 
219,73 ;220,00 ;60,20 ;/60,00 
220,02 ;220,00 ;60,14 ;/60,00 
220,21 ;220,00 ;60,08 ;/60,00 
220,44 ;220,00 ;60,03 ;/60,00 
220,48 ;220,00 ;59,96 ;/60,00 
220,63 ;220,00 ;59,90 ;/60,00 
220,36 ;220,00 ;59,96 ;/60,00 
220,36 ;220,00 ;60,12 ;/60,00 
220,25 ;220,00 ;60,35 ;/60,00 
220,06 ;220,00 ;60,54 ;/60,00 
219,95 ;220,00 ;60,63 ;/60,00 
219,99 ;220,00 ;60,69 ;/60,00 
219,73 ;220,00 ;60,64 ;/60,00 
219,69 ;220,00 ;60,61 ;/60,00 
219,88 ;220,00 ;60,59 ;/60,00 
219,73 ;220,00 ;60,47 ;/60,00 
219,76 ;220,00 ;60,38 ;/60,00 
219,76 ;220,00 ;60,37 ;/60,00 
220,06 ;220,00 ;60,30 ;/60,00 
220,14 ;220,00 ;60,27 ;/60,00 
219,84 ;220,00 ;60,17 ;/60,00 
219,99 ;220,00 ;60,09 ;/60,00 
219,99 ;220,00 ;60,02 ;/60,00 
219,91 ;220,00 ;59,97 ;/60,00 
219,91 ;220,00 ;59,97 ;/60,00 
219,88 ;220,00 ;59,84 ;/60,00 
